,title,author,pubyear,first_published,txtype
0,Dáma v jezeře,"Chandler, Raymond",1992,1965,NOV
1,Pražská ekloga,"Kovtun, Jiří",1992,1973,NOV
2,Planeta lykantů,"Garen, Jean Pierre",1992,1992,NOV
3,Fiesta,"Hemingway, Ernest",1992,1966,NOV
4,Píseň o lítosti,"Fischl, Viktor",1992,1982,NOV
5,Matka Noc,"Vonnegut, Kurt Jr.",1992,1992,NOV
6,Uprostřed nocí zpěv,"Kratochvil, Jiří",1992,1992,NOV
7,Okarína do re mi,"Hovorka, Jan",1992,1992,NOV
8,Muž v jiných končinách světa,"Vávra, Vladimír",1992,1992,NOV
9,Prostor k rozlišení,"Linhartová, Věra",1992,1964,NOV
10,Dřevěná lžíce,"Weil, Jiří",1992,1992,NOV
11,Zeď,"Sartre, Jean-Paul",1992,1965,NOV
12,Druhé město,"Ajvaz, Michal",1993,1993,NOV
13,Blízký konec,"Cook, Robin",1993,1993,NOV
14,Děs,"Hubbard, L. Ron",1993,1993,NOV
15,Čarodějky z Eastwicku,"Updike, John",1993,1993,NOV
16,Vekslák 2,"Frýbort, Pavel",1993,1993,NOV
17,Zaříkávání duchů,"Krentzová, Jayne Ann",1993,1993,NOV
18,Muž od vedle,"Halston, Carol",1993,1993,NOV
19,Koření lásky,"Clareová, Kathrin",1993,1993,NOV
20,Láska na první pousmání,"Buck, Carole",1993,1993,NOV
21,Manželství z rozumu,"Leclaire, Day",1993,1993,NOV
22,Past na princeznu,"Seger, Maura",1993,1993,NOV
23,Námluvy po texasku,"Broadrick, Annette",1993,1993,NOV
24,Čínský drak,"Grym, Pavel",1993,1993,NOV
25,Obsluhoval jsem anglického krále,"Hrabal, Bohumil",1993,1993,NOV
26,Kulatý svět,"Pekárková, Iva",1993,1993,NOV
27,Zostření paměti po úrazu,"Bílý, Jaroslav",1993,1993,NOV
28,Hořké zrání Adriana Molea,"Townsendová, Sue",1994,1994,NOV
29,Zlaté brejličky,"Bassani, Giorgio",1994,1994,NOV
30,Čest a sláva,"Michal, Karel",1994,1966,NOV
31,Gypsová dáma,"Michal, Karel",1994,1967,NOV
32,Pražské hyeny,"Verner, Pavel",1994,1994,NOV
33,Kde život náš je v půli se svou poutí,"Jedlička, Josef",1994,1966,NOV
34,Komandant,"Macura, Vladimír",1994,1994,NOV
35,Myši Natálie Mooshabrové,"Fuks, Ladislav",1994,1970,NOV
36,O myších a lidech,"Steinbeck, John",1994,1946,NOV
37,Pěna dní,"Vian, Boris",1994,1967,NOV
38,Piksla červů,"Chase, James Hadley",1994,1994,NOV
39,Ryby,"Dostál, Zeno",1994,1994,NOV
40,Smileyho lidé,"Le Carré, John",1994,1994,NOV
41,Avion,"Kratochvil, Jiří",1995,1995,NOV
42,Noční plavba,"Higgins, Jack",1995,1995,NOV
43,Ohyzdný duch,"Burroughs, William Seward",1995,1995,NOV
44,Orbita,"Block, Thomas",1995,1995,NOV
45,Pasáž,"Pecka, Karel",1995,1976,NOV
46,Poly a tajemství sedmi hvězd,"Aubryová, Cecile",1995,1995,NOV
47,Prázdniny v Londýně,"Brandon, Ann",1995,1995,NOV
48,Přímý přenos z Golgoty,"Vidal, Gore",1995,1995,NOV
49,Pan Kaplan má stále třídu rád,"Rosten, Leo Calvin",1995,1987,NOV
50,Tak pravil Švejk,"Vokolek, Vladimír",1995,1995,NOV
51,"Běž, kam tě srdce povede","Tamarová, Susanna",1995,1995,NOV
52,Klíč je pod rohožkou,"Třešňák, Vlastimil",1995,1995,NOV
53,Zlověstné kameny,"Upfield, Arthur",1995,1977,NOV
54,Vražedný lék,"Sheperdová, Stella",1995,1995,NOV
55,Zázrak svaté Winifredy,"Pargeterová, Edith",1995,1995,NOV
56,Ze zoufalství,"Morrell, David",1995,1995,NOV
57,Čtvrtý anděl,"Hunter, Robin",1996,1996,NOV
58,Číča,"Mikes, George",1996,1996,NOV
59,Kouřová clona,"Francis, Dick",1996,1996,NOV
60,Fantom chrámu,"Gulik, Robert Hans van",1996,1996,NOV
61,Jana z Arku,"Moinot, Pierre",1996,1996,NOV
62,Jmenuji se Ašer Lev,"Potok, Chaim",1996,1996,NOV
63,Katčiny sliby,"Krauss, Irma",1996,1996,NOV
64,Posmrtné paměti Bráse Cubase,"Machado de Assis, Joaquim Maria",1996,1996,NOV
65,"Muž, který měl rád psy","Chandler, Raymond",1996,1996,NOV
66,Osudná lehkomyslnost,"Merrimanová, Catherine",1996,1996,NOV
67,Poštovní úřad,"Bukowski, Charles",1996,1996,NOV
68,Pod skleněným zvonem,"Plathova, Sylvia",1996,1996,NOV
69,Třetí hlava,"Večeřa, Pavel",1996,1996,NOV
70,Král polí,"Singer, Isaac Bashevis",1996,1996,NOV
71,Srdcové eso,"Kludská, Dagmar",1996,1996,NOV
72,Svatyně,"Faulkner, William",1996,1996,NOV
73,"Tanec za jedna, matika za pět","Blobel, Brigitte",1996,1994,NOV
74,Drazí zesnulí,"Waugh, Evelyn",1996,1973,NOV
75,Pavučina,"Wyndham, John",1996,1996,NOV
76,Holistická detektivní kancelář Dirka Gentlyho,"Adams, Douglas",1997,1997,NOV
77,Útěky z bezpečí,"Bach, Richard",1997,1997,NOV
78,Soukromé rozhovory,"Bergman, Ingmar",1997,1997,NOV
79,Blade Runner,"Jeter, Kewin Wayne",1997,1997,NOV
80,Doktor na větvi,"Gordon, Richard",1997,1997,NOV
81,Dvojitý pohřeb,"Chase, James Hadley",1997,1997,NOV
82,Jak František kázal zvířatům,"Rotzette, Anton",1997,1988,NOV
83,Cit slečny Smilly pro sníh,"Hoeg, Peter",1997,1997,NOV
84,Čech jako poleno,"Kupka, S. Jiří",1997,1997,NOV
85,Žena a loutka,"Louys, Pierre",1997,1997,NOV
86,Ego,"Matoušek, Ivan",1997,1997,NOV
87,Místo pro lásku,"Blobel, Brigitte",1997,1997,NOV
88,Na cestě,"Kerouac, Jack",1997,1978,NOV
89,Padraikův zánik,"Nuska, Bohumil",1997,1997,NOV
90,Anglický pacient,"Ondaatje, Michael",1997,1997,NOV
91,Peklo v ráji,"Troska, Jan Matzal",1997,1941,NOV
92,Pochybnost,"Bartuška, Václav",1997,1997,NOV
93,Pornografie,"Gombrowicz, Witold",1997,1997,NOV
94,Řekneme to prezidentce?,"Archer, Jeffrey",1997,1997,NOV
95,Řeči pro pláč,"O'Brien, Flann",1997,1997,NOV
96,Reparátor,"Neff, Ondřej",1997,1997,NOV
97,Tunel,"Sábato, Ernesto",1997,1997,NOV
98,Neslušné odhalení,"Sharpe, Tom",1997,1997,NOV
99,Vlak do Santa Fé,"Jiráň, J. - Kaiser, O. - Lábus, J.",1997,1997,NOV
100,Zoufalství,"Nabokov, Vladimír Vladimirovič",1997,1997,NOV
101,Z hlubin,"Atwoodová, Margaret",1998,1998,NOV
102,Časotřesení,"Vonnegut, Kurt",1998,1998,NOV
103,Tiché dny v Clichy,"Miller, Henry",1998,1991,NOV
104,Oblíbená hra,"Cohen, Leonard",1998,1998,NOV
105,Golem,"Meyrink, Gustav",1998,1971,NOV
106,Jsem jen lehký hypochondr,"Macfarlane, Aidan - McPhersonová, Ann",1998,1998,NOV
107,Takový malý pejsek,"Pearceová, Philippa",1998,1998,NOV
108,Kráska a netvor,"Hájek, Pavel",1998,1998,NOV
109,Poslední tečka za Rukopisy,"Urban, Josef",1998,1998,NOV
110,"Kluci a holky, když jsou spolu","Saroyan, William",1998,1998,NOV
111,Tyran,"Szerb, Antal",1998,1998,NOV
112,Zaprodanci,"Morrell, David",1998,1998,NOV
113,Nepříjemnost v klubu Bellona,"Sayersová, Dorothy L.",1999,1999,NOV
114,Dobře utajená vražda,"Block, Lawrence",1999,1999,NOV
115,Záhada Modrého vlaku,"Christie, Agatha",1999,1999,NOV
116,Dívenka s tmavýma očima,"Pagnol, Marcel",1999,1999,NOV
117,Dobrodružství hraběte Lydericha,"Dumas, Alexandre",1999,1999,NOV
118,Případ sličné siluety,"Gardner, Erle Stanley",1999,1983,NOV
119,Mé století,"Grass, Günter",1999,1999,NOV
120,Gangsteři se nekoulují,"Hodek, Antonín",1999,1999,NOV
121,Hotel uprostřed života,"Vopěnka, Martin",1999,1999,NOV
122,Kniha doličná,"Banville, John",1999,1999,NOV
123,Extáze,"Konsalik, Heinz Günther",1999,1999,NOV
124,Dálkové ovládání,"McNab, Andy",1999,1999,NOV
125,Mlčení jehňátek,"Harris, Thomas",1999,1999,NOV
126,Rozlet císařské orlice,"Svobodová, Jana",1999,1999,NOV
127,Ostrůvek,"Boulle, Pierre",1999,1999,NOV
128,Evangelium a ostružina,"Třešňák, Vlastimil",1999,1999,NOV
129,Panter ve sklepě,"Oz, Amos",1999,1999,NOV
130,Pestré vrstvy,"Landsmann, Ivan",1999,1999,NOV
131,Řeznickej kluk,"McCabe, Patrick",1999,1999,NOV
132,Podnikatelka,"Rašek, Antonín",1999,1999,NOV
133,Poslední ráno,"Morrell, David",1999,1999,NOV
134,Následující příběh,"Nooteboom, Cees",1999,1999,NOV
135,"Řekni, že mě miluješ","Lindsey, Johanna",1999,1999,NOV
136,Jezdci pod slunečníkem,"Ludva, Roman",1999,1999,NOV
137,Samův pád,"Kearney, Richard",1999,1999,NOV
138,Stihnout to před Pánem Bohem,"Krallová, Hanna",1999,1999,NOV
139,Noční tango,"Kratochvil, Jiří",1999,1999,NOV
140,Ten žena a ta muž,"Kohout, Pavel",1999,1999,NOV
141,Pravěk a jiné časy,"Tokarczuková, Olga",1999,1999,NOV
142,Zmizení princezny,"Velinský, Jaroslav",1999,1999,NOV
143,Černý beran,"Balabán, Jan",2000,2000,NOV
144,Zavírací hodina,"Block, Lawrence",2000,2000,NOV
145,Spravedlnost,"Správcová, Božena",2000,2000,NOV
146,Doktor Glas,"Söderberg, Hjalmar",2000,2000,NOV
147,Fotr,"Landsmann, Ivan",2000,2000,NOV
148,Kdo zabil Tomáše Wellse,"Unsworth, Barry",2000,2000,NOV
149,Labuť,"Vassalli, Sebastiano",2000,2000,NOV
150,Nejlepší přítelkyně,"Bardová, Mary",2000,2000,NOV
151,Prchavé okamžiky,"Michaels, Ann",2000,2000,NOV
152,Paní jezera,"Sapkowski, Andrzej",2000,2000,NOV
153,Paradýzo,"Popel, Richard",2000,2000,NOV
154,Pivoňková lucerna,"Enčó, Sanjútei",2000,1984,NOV
155,Poslední tanec,"McBain, Ed",2000,2000,NOV
156,Zpověď poživače opia,"DeQuincey, Thomas",2000,2000,NOV
157,"Zapomeň, řeko, téci","Stiborová, Věra",2000,2000,NOV
158,Útěk čarodějky,"Petersová, Ellis",2000,2000,NOV
159,Slaměná vdova,"Petersová, Ellis",2000,2000,NOV
160,Vládci hlubin,"Hohlbein, Wolfgang",2000,2000,NOV
161,Žabky na vodě,"Kubešová, Blanka",2000,2000,NOV
162,Opilé banány,"Šabach, Petr",2001,2001,NOV
163,Každý musí zemřít,"Block, Lawrence",2001,2001,NOV
164,Na kratším konci ulice,"Brussig, Thomas",2001,2001,NOV
165,Cesta na Praděd,"Vaculík, Ludvík",2001,2001,NOV
166,Doširoka otevřené,"Barkerová, Nicola",2001,2001,NOV
167,Dům se schodištěm,"Rendellová, Ruth",2001,2001,NOV
168,...aneb Komentář k bratrovraždě,"Eichler, Karel",2001,2001,NOV
169,Hájili jsme hrad,"Eastlake, William",2001,1980,NOV
170,Na prahu ráje,"Hardellet, André",2001,2001,NOV
171,Hněv celého světa,"Hart, Maarten't",2001,2001,NOV
172,Byla jedna holčička,"McBain, Ed",2001,2001,NOV
173,Harry Potter a vězeň z Azkabanu,"Rowling, Joanne K.",2001,2001,NOV
174,Jeho žena,"Bernheimová, Emanuele",2001,2001,NOV
175,Mezi planetami,"Heinlein, Robert Anson",2001,2001,NOV
176,Nebezpečné křivky,"Gardner, Erle Stanley",2001,1997,NOV
177,Noční práce,"Topol, Jáchym",2001,2001,NOV
178,Divoké palmy,"Faulkner, William",2001,1960,NOV
179,Stará pevnost,"Krupička, Jiří",2001,2001,NOV
180,Pnin,"Nabokov, Vladimír Vladimirovič",2001,2001,NOV
181,Román pro ženy,"Viewegh, Michal",2001,2001,NOV
182,Proudy,"Kahuda, Václav",2001,2001,NOV
183,Za rozcestím,"Djian, Philippe",2001,2001,NOV
184,Soudci,"Wieselová, Elie",2001,2001,NOV
185,Světlo přichází potmě,"Rotrekl, Zdeněk",2001,2001,NOV
186,Velká čtyřka,"Christie, Agatha",2001,2001,NOV
187,Dům z úsvitu,"Momaday, N. Scott",2001,2001,NOV
188,Účastníci zájezdu,"Viewegh, Michal",2001,1996,NOV
189,Zima úzkosti,"Steinbeck, John",2001,1965,NOV
190,Svatoušek,"Exner, Milan",2002,2002,NOV
191,Falešní hráči,"Connelly, Michael",2002,2002,NOV
192,Fatální řez,"Mastersová, Priscilla",2002,2002,NOV
193,Peppermint frappé,"Zgustová, Monika",2002,2002,NOV
194,Hlas hory,"Kawabata, Jasunari",2002,2002,NOV
195,Hodiny,"Cunningham, Michael",2002,2002,NOV
196,V náruči mužů,"Laurensová, Camille",2002,2002,NOV
197,Vražda v Orient-expresu,"Christie, Agatha",2002,1994,NOV
198,Ostrov,"Charoust, Milan",2002,2002,NOV
199,Pátý syn,"Wieselová, Elie",2002,2002,NOV
200,Francouzský testament,"Makine, Andrei",2002,2002,NOV
201,Útes,"Gunesekera, Romesh",2002,2002,NOV
202,Muzeum zkamenělin,"Atwood, Margaret Eleanor",2002,2002,NOV
203,Jedenáct minut,"Coelho, Paulo",2003,2003,NOV
204,Pětka,"Jackson, Mick",2003,2003,NOV
205,Manželství do 158 liber,"Irving, John",2003,2003,NOV
206,"Všechno, jen slunce ne","Burgess, Anthony",2003,2003,NOV
207,Nadechnout se,"Orwell, George",2003,2003,NOV
208,Nadobro ztracený,"Coben, Harlan",2003,2003,NOV
209,Noční služba,"Mastersová, Priscilla",2003,2003,NOV
210,Pošli to dál,"Hydeová, Catherine Ryan",2003,2003,NOV
211,Šifra mistra Leonarda,"Brown, Dan",2003,2003,NOV
212,Smrt na křižovatce,"Furutani, Dale",2003,2003,NOV
213,Staří muži o půlnoci,"Potok, Chaim",2003,2003,NOV
214,Stín na severu,"Pullman, Philip",2003,2003,NOV
215,Světlo dne,"Swift, Graham",2003,2003,NOV
216,Smrtící věrnost,"Robertsová, Nora",2003,1999,NOV
217,Vlámské tajemství,"Andahazi, Frederico",2003,2003,NOV
218,Mozkové vlny,"Goldberg, Leonard",2003,2003,NOV
219,Vši svobody,"Kaminer, Wladimir",2003,2003,NOV
220,Závody,"Polák, Jiří",2003,2003,NOV
221,"Dnes 13, zítra 30","Roberts, Christa",2004,2004,NOV
222,Bílá ruka a poklad hradu Handštejna,"Kárník, Zdeněk",2004,2004,NOV
223,Dům spánku,"Coe, Jonathan",2004,2004,NOV
224,Paní Dallowayová,"Woolfová, Virginia",2004,2004,NOV
225,Principálova dcera,"Gaarder, Jostein",2004,2004,NOV
226,Den poté,"Strieber, Whitley",2004,2004,NOV
227,"Dlouhý, temný čas svačiny duše","Adams, Douglas",2004,1994,NOV
228,Druhá strana vraždy,"Jeffries, Roderic",2004,2004,NOV
229,Mnich z přízemí,"Farrington, Tim",2004,2004,NOV
230,Oceán vzpomínek,"Hugová, Lynne - Villegasová, Anna Tuttle",2004,2004,NOV
231,Jeden okamžik v čase,"Babická, Helena",2004,2004,NOV
232,O lásce a jiných běsech,"García Márquez, Gabriel",2004,1997,NOV
233,Poslední panna,"Belbin, David",2004,2002,NOV
234,"Pavel, dobrodruh víry","Selucký, Oldřich",2004,2004,NOV
235,Se srpem v zádech,"Pilous, Jiří",2004,2004,NOV
236,Svedení umírají dvakrát,"Hensherová, Ann-Christin",2004,2004,NOV
237,Železná brána,"Millarová, Margaret",2004,2004,NOV
238,Želvičky,"Valášek, Karel",2004,2004,NOV
239,Zóna Berlín,"Dückersová, Tanja",2004,2004,NOV
240,Anne,"Haugen, Paal-Helge",2005,2005,NOV
241,Všude červená,"Chmielewska, Joanna",2005,2005,NOV
242,Chci jen dítě,"Phillipsová, Susan Elizabeth",2005,2005,NOV
243,Chytněte si toho psa!,"Hromek, Jan",2005,2005,NOV
244,Cirkus Les Mémoires,"Hůlová, Petra",2005,2005,NOV
245,Královna jihu,"Pérez-Reverte, Arturo",2005,2005,NOV
246,Láska,"Morrisonová, Toni",2005,2005,NOV
247,Mezi akty,"Woolfová, Virginia",2005,2005,NOV
248,Mrtvý ze Zlaté stoky,"Svejkovský, Jiří",2005,2005,NOV
249,"Muž, který zmizel","Millarová, Margaret",2005,2005,NOV
250,Naplnění,"Spencerová, La Vyrle",2005,1979,NOV
251,Zpráva od nebožtíka,"Chmielewska, Joanna",2005,1972,NOV
252,Zamilovaný ničema,"Lindseyová, Johanna",2005,2005,NOV
253,Obchodníci s vesmírem,"Pohl, Frederik",2005,1963,NOV
254,Mé slzy zůstaly v Iráku,"Švecová, Jana",2005,2005,NOV
255,Sršeň létá v noci,"Follett, Ken",2005,2005,NOV
256,Svatba z donucení,"Cartland, Barbara",2005,2005,NOV
257,Svátost manželství,"Bombecková, Erma",2005,1996,NOV
258,Tichá žena,"Zgustová, Monika",2005,2005,NOV
259,To je váš pes?,"Hromek, Jan",2005,2005,NOV
260,Oko tornáda,"Blanchardová, Alice",2005,2005,NOV
261,Ukolébavka,"Palahniuk, Chuck",2005,2005,NOV
262,Virus,"Goldberg, Leonard",2005,2005,NOV
263,Zapomenutý příběh,"Murrayová, Yxta Maya",2005,2005,NOV
264,Blázinec,"Jauffret, Régis",2006,2006,NOV
265,Bukvínkova kouzelná píšťalka,"Klimtová, Vítězslava",2006,2002,NOV
266,Devětkrát jeden vrah,"Žídková, Anna",2006,2006,NOV
267,Dívka v zrcadle,"Kačírková, Eva",2006,2006,NOV
268,Kim,"Kipling, Rudyard",2006,2006,NOV
269,Tenhle kluk je můj!,"Kabátová, Veronika",2006,2006,NOV
270,Letní plavba,"Capote, Truman",2006,2006,NOV
271,Zpověď Maxe Tivoliho,"Greer, Andrew Sean",2006,2006,NOV
272,Nová láska na obzoru,"Kabátová, Veronika",2006,2006,NOV
273,Olomoucký bestiář,"Vondruška, Vlastimil",2006,2006,NOV
274,Orlové smrti,"Kessler, Leo",2006,2006,NOV
275,Když přijde láska,"Kabátová, Veronika",2006,2006,NOV
276,Psí matka,"Matesis, Pavlos",2006,2006,NOV
277,Skládačka,"McBain, Ed",2006,1973,NOV
278,Slepé mapy,"Brdečková, Tereza",2006,2006,NOV
279,Slyšel jsem sovu zavolat své jméno,"Cravenová, Margaret",2006,1984,NOV
280,Sobota,"McEwan, Ian",2006,2006,NOV
281,Tajemství posledního večera,"Renč, Ivan",2006,2006,NOV
282,Anděl,"Topol, Jáchym",2006,1995,NOV
283,Ukvapený Sam,"Wodehouse, Pelham Grenville",2006,1984,NOV
284,Polibek v Římě,"Cartland, Barbara",2006,2006,NOV
285,Zástava náhradního srdce,"Fojtová, Věra",2006,2006,NOV
286,Afterdark,"Murakami, Haruki",2007,2007,NOV
287,Láska bez odporu,"Rozier, Gilles",2007,2007,NOV
288,Chlapectví,"Coetzee, J. M.",2007,2007,NOV
289,Dům,"Steel, Danielle",2007,2007,NOV
290,Operace Irák,"Kessler, Leo",2007,2007,NOV
291,Kainova kniha,"Trocchi, Alexander",2007,2007,NOV
292,Konečné řešení,"Chabon, Michael",2007,2007,NOV
293,Láska není minulost,"Hofmanová, Jaroslava",2007,2007,NOV
294,Nemáme na vybranou,"Lustig, Arnošt",2007,2007,NOV
295,"Jíst, meditovat, milovat","Gilbert, Elizabeth",2007,2007,NOV
296,Možnost ostrova,"Houellebecq, Michel",2007,2007,NOV
297,Muži a jiné katastrofy,"Gierová, Kerstin",2007,1998,NOV
298,Maigret na dovolené,"Simenon, Georges",2007,1994,NOV
299,Perelandra,"Lewis, C. S.",2007,1995,NOV
300,Drsné pobřeží,"Temple, Peter",2007,2007,NOV
301,Pochod k moři,"Doctorow, Edgar Lawrence",2007,2007,NOV
302,Poslední rituál,"Sigurdardóttir, Yrsa",2007,2007,NOV
303,Sebranka,"Eidler, Petr",2007,2007,NOV
304,Správná parta a kouzelný míč,"Kühnl, Daniel",2007,2007,NOV
305,"Spi sladce, lásko","Carlotto, Massimo",2007,2007,NOV
306,Jsem statečná žena,"Žáček, Jan",2007,2007,NOV
307,Ten večer,"Minot, Susan",2007,2007,NOV
308,Indigový drak,"Owen, James",2008,2008,NOV
309,Kukla motýla,"Terrell, Heather",2008,2008,NOV
310,V ohrožení,"Cornwell, Patricia",2008,2008,NOV
311,Probuzení,"Chopin, Kate",2008,2008,NOV
312,Zahrada pozemských rozkoší,"Caruso, Giacinta",2008,2008,NOV
313,Když uvěříš,"Inclan, Jessica Barksdale",2008,2008,NOV
314,Výprodej v domě hrůzy,"Coville, Bruce",2008,2008,NOV
315,Zachráníš mě ráno,"Fieldingová, Joy",2008,2008,NOV
316,Paleček krále Jiřího,"Hiršal, Josef - Kolář, Jiří",1992,1992,COL
317,Hodina děsu,"King, Stephen",1992,1992,COL
318,Mrtví se někdy vracejí,"King, Stephen",1992,1992,COL
319,Malostranské humoresky,"Pecka, Karel",1992,1985,COL
320,Ministrantovo svědectví,"Simenon, Georges",1993,1993,COL
321,Devět povídek,"Salinger, Jerome David",1993,1971,COL
322,Povídky z jedné kapsy,"Čapek, Karel",1993,1929,COL
323,Pellicova 47,"Nekula, Marek",1994,1994,COL
324,Kafkárna,"Hrabal, Bohumil",1994,1994,COL
325,Příběhy (jak mě napadly),"Grym, Pavel",1994,1994,COL
326,Piknik a jiné pohromy,"Durrell, Gerald",1995,1995,COL
327,Provdaná nevěsta,"Vejvoda, Jaroslav",1995,1991,COL
328,Ráno na pobřeží,"Styron, William",1995,1995,COL
329,Šílenství,"Sá-Carneiro, Mário de",1996,1996,COL
330,Černý kámen,"Howard, Robert Ervin",1996,1996,COL
331,Hovory s Okťabrinou,"Škvorecký, Josef",1996,1996,COL
332,Kroky,"Kosinski, Jerzy",1996,1996,COL
333,Zlý pes bez zahrady,"Listopad, František",1996,1996,COL
334,Dům alchymistův,"Meyrink, Gustav",1996,1996,COL
335,Popel žhne,"Řezníček, Pavel",1996,1996,COL
336,U jídla se nemluví,"Třešňák, Vlastimil",1996,1996,COL
337,Vyřídit si účty,"Allen, Woody",1997,1997,COL
338,Krvavá komnata,"Carterová, Angela",1997,1997,COL
339,Kůň na měsíci a jiné povídky,"Pirandello, Luigi",1997,1997,COL
340,Prázdné cesty,"Liksomová, Rosa",1997,1997,COL
341,O princezně Modroočce a jiné pohádky,"Janusová, Viera",1997,1997,COL
342,Černý mnich a jiné povídky,"Čechov, Anton Pavlovič",1997,1997,COL
343,Příběhy o milém Pánubohu,"Rilke, Rainer Maria",1997,1997,COL
344,Snový život Balso Snella,"West, Nathanael",1997,1997,COL
345,Šťastný princ a jiné pohádky,"Wilde, Oscar",1997,1997,COL
346,Libertas a jiné sny,"Švanda, Pavel",1997,1997,COL
347,Zkamenělý muž,"Weltyová, Eudora",1997,1997,COL
348,Prázdniny,"Balabán, Jan",1998,1998,COL
349,Tři Ďábelské novely,"Barbey d'Aurevilly, Jules",1998,1998,COL
350,Grónské mýty a pověsti,"Rasmussen, Knud",1998,1998,COL
351,Kouzelný hadí kámen,"Skřivánek, Jaromír",1998,1998,COL
352,Raná próza,"Hesse, Herman",1998,1998,COL
353,Zloděj a jiné podivné figury,"Heym, Georg",1998,1998,COL
354,Lucidor a jiné prózy,"Hofmannsthal, Hugo von",1998,1998,COL
355,Lunarys,"Houser, Pavel",1998,1998,COL
356,Ocelové vize,"Harrison, Harry",1998,1998,COL
357,Pohádky Větrných hor,"Vopěnka, Martin",1998,1998,COL
358,Jak hromady pobitých ptáků,"Dvořák, Ladislav",1998,1998,COL
359,Blázny šatí stvol,"Řezníček, Pavel",1998,1998,COL
360,Hora duchů,"Becquer, Gustavo Adolfo",1999,1999,COL
361,Krabí zjevení,"Tanaka, Kótaró",1999,1999,COL
362,Kufr,"Dovlatov, Sergej",1999,1999,COL
